Suburb Name or Postcode,Employment Regions (% of population in each Area)
BARRAGANYATTI,Mid North Coast (100%)
BARRAGGA BAY,Illawarra South Coast (100%)
BARRAGUP,Perth South (100%)
BARRAKEE,Wimmera Mallee (100%)
BARRAMORNIE,Darling Downs (100%)
BARRAMUNGA,South Coast of Victoria (100%)
BARRAPORT,Bendigo (100%)
BARRAPORT WEST,Bendigo (100%)
BARRATTA (NSW),Murray Riverina (100%)
BARRATTA (QLD),Townsville (100%)
BARRENGARRY,Illawarra South Coast (100%)
BARRETTA,Hobart and Southern Tasmania (100%)
BARRETTS CREEK,North Coast (100%)
BARRINE,Cairns (100%)
BARRINGELLA,Illawarra South Coast (100%)
BARRINGHA,Townsville (100%)
BARRINGTON (NSW),Mid North Coast (100%)
BARRINGTON (TAS),North and North Western Tasmania (100%)
BARRON,Cairns (100%)
BARRY (NSW 2340),Hunter (100%) 
BARRY (NSW 2799),Central West (100%)
BARRYS REEF,Ballarat (100%)
BARTLE FRERE,Cairns (100%)
BARTON,Capital Region (100%)
BARUNAH PARK,Barwon (100%)
BARUNAH PLAINS,South Coast of Victoria (100%)
BARUNGA GAP,Mid North SA (100%)
BARWANG,Capital Region (100%)
BARWIDGEE,Goulburn/Murray (100%)
BARWITE,Goulburn/Murray (100%)
BARWON,Far West Orana (100%)
BARWON DOWNS,South Coast of Victoria (100%)
BARWON HEADS,Barwon (100%)
BARYULGIL,North Coast (100%)
BASALT (QLD),Townsville (100%)
BASALT (VIC),Ballarat (100%)
BASIN POCKET,Wivenhoe (100%)
BASIN VIEW,Illawarra South Coast (100%)
BASKERVILLE,Perth North (100%)
BASKET RANGE,Adelaide South (100%)
BASS,Gippsland (100%)
BASS HILL,Sydney South West(98.7%);Sydney Greater West(1.3%)
BASSENDEAN (NSW),New England and North West (100%)
BASSENDEAN (WA),Perth North (100%)
BATAR CREEK,Mid North Coast (100%)
BATEAU BAY,Sydney North and West (100%)
BATEHAVEN,Illawarra South Coast (100%)
BATEMAN,Perth South (100%)
BATEMANS BAY,Illawarra South Coast (100%)
BATESFORD,Barwon (100%)
BATHAMPTON,Central West (100%)
BATHUMI,Goulburn/Murray (100%)
BATHURST,Central West (100%)
BATLOW,Murray Riverina (100%)
BATTERY HILL,Wide Bay and Sunshine Coast (100%)
BATTERY POINT,Hobart and Southern Tasmania (100%)
BAUDIN BEACH,Adelaide South (100%)
BAUHINIA,Fitzroy (100%)
BAULKHAM HILLS,Sydney North and West(95.6%);Sydney Greater West(4.4%)
BAUPLE,Wide Bay and Sunshine Coast (100%)
BAUPLE FOREST,Wide Bay and Sunshine Coast (100%)
BAW BAW (NSW),Capital Region (100%)
BAW BAW VILLAGE,Gippsland (100%)
BAWLEY POINT,Illawarra South Coast (100%)
BAXTER,South Eastern Melbourne and Peninsula (100%)
BAY OF SHOALS,Adelaide South (100%)
BAYINDEEN,Wimmera Mallee (100%)
BAYLES,South Eastern Melbourne and Peninsula (100%)
BAYNTON (VIC),Bendigo (100%)
BAYONET HEAD,Great Southern - Wheatbelt (100%)
BAYSWATER (VIC),North Eastern Melbourne (100%)
BAYSWATER (WA),Perth North (100%)
BAYSWATER NORTH,North Eastern Melbourne (100%)
BAYVIEW (NSW),Sydney North and West (100%)
BAYVIEW (NT),Darwin (100%)
BAYVIEW HEIGHTS,Cairns (100%)
BEACH HOLM,Townsville (100%)
BEACHLANDS,Geraldton (100%)
BEACHMERE,Somerset (100%)
BEACHPORT,Murray and South East (100%)
BEACON,Great Southern - Wheatbelt (100%)
BEACON HILL,Sydney North and West (100%)
BEACONSFIELD (NSW),Sydney East Metro (100%)
BEACONSFIELD (QLD),Mackay (100%)
BEACONSFIELD (TAS),North and North Western Tasmania (100%)
BEACONSFIELD (VIC),South Eastern Melbourne and Peninsula (100%)
BEACONSFIELD (WA),Perth South (100%)
BEACONSFIELD UPPER,South Eastern Melbourne and Peninsula (100%)
BEALIBA,Ballarat (100%)
BEAN CREEK,North Coast (100%)
BEARBONG,Far West Orana (100%)
BEARII,Goulburn/Murray (100%)
BEARS LAGOON,Bendigo (100%)
BEATRICE,Cairns (100%)
BEATTY,Murray and South East (100%)
BEAUCHAMP,Wimmera Mallee (100%)
BEAUDESERT,Brisbane South East (100%)
BEAUFORT (SA),Mid North SA (100%)
BEAUFORT (VIC),Ballarat (100%)
BEAUFORT RIVER,Great Southern - Wheatbelt (100%)
BEAUMARIS (TAS),North and North Western Tasmania (100%)
BEAUMARIS (VIC),Inner Metropolitan Melbourne (100%)
BEAUMONT (NSW),Illawarra South Coast (100%)
BEAUMONT (SA),Adelaide South (100%)
BEAUMONT HILLS,Sydney North and West (100%)
BEAUTY POINT,North and North Western Tasmania (100%)
BEAVER ROCK,Wide Bay and Sunshine Coast (100%)
BEAZLEYS BRIDGE,Wimmera Mallee (100%)
BECKENHAM,Perth South (100%)
BECKOM,Murray Riverina(69.0%);Central West(31.0%)
BECTIVE,New England and North West (100%)
BECTRIC,Murray Riverina (100%)
BEDFORD,Perth North (100%)
BEDFORD PARK,Adelaide South (100%)
BEDFORDALE,Perth South (100%)
BEDGERABONG,Central West (100%)
BEEAC,South Coast of Victoria (100%)
BEEBO,Darling Downs (100%)
BEECH FOREST,South Coast of Victoria (100%)
BEECHBORO,Perth North (100%)
BEECHER,Fitzroy (100%)
BEECHFORD,North and North Western Tasmania (100%)
BEECHINA,Perth North (100%)
BEECHMONT,Gold Coast (100%)
BEECHWOOD,Mid North Coast (100%)
BEECHWORTH,Goulburn/Murray (100%)
BEECROFT,Sydney North and West(69.1%);Sydney Greater West(30.9%)
BEEDELUP,South West WA (100%)
BEELA,South West WA (100%)
BEELBANGERA,Murray Riverina (100%)
BEELBEE,Darling Downs (100%)
BEELBI CREEK,Wide Bay and Sunshine Coast (100%)
BEELERUP,South West WA (100%)
BEELIAR,Perth South (100%)
BEEMUNNEL,Far West Orana (100%)
BEENAAM VALLEY,Wide Bay and Sunshine Coast (100%)
BEENAK,North Eastern Melbourne (100%)
BEENLEIGH,Brisbane South East (100%)
BEENONG,Great Southern - Wheatbelt (100%)
BEERBURRUM,Wide Bay and Sunshine Coast (100%)
BEERMULLAH,Great Southern - Wheatbelt (100%)
BEERON,Wide Bay and Sunshine Coast (100%)
BEERWAH,Wide Bay and Sunshine Coast (100%)
BEETALOO,Mid North SA (100%)
BEGA,Illawarra South Coast (100%)
BEGGAN BEGGAN,Capital Region (100%)
BEGONIA,Darling Downs (100%)
BEILBA,Darling Downs (100%)
BEJOORDING,Great Southern - Wheatbelt (100%)
BELAIR,Adelaide South (100%)
BELALIE EAST,Mid North SA (100%)
BELALIE NORTH,Mid North SA (100%)
BELANGLO,Illawarra South Coast (100%)
BELBORA,Mid North Coast (100%)
BELCONG,Fitzroy (100%)
BELCONNEN,Capital Region (100%)
BELCONNEN DISTRICT,Capital Region (100%)
BELDON,Perth North (100%)
BELFIELD,Sydney East Metro (100%)
BELFORD,Hunter (100%)
BELFRAYDEN,Murray Riverina (100%)
BELGIAN GARDENS,Townsville (100%)
BELGRAVE,North Eastern Melbourne (100%)
BELGRAVE HEIGHTS,North Eastern Melbourne (100%)
BELGRAVE SOUTH,North Eastern Melbourne (100%)
BELGRAVIA,Central West (100%)
BELHUS,Perth North (100%)
BELIMBLA PARK,Sydney South West (100%)
BELIVAH,Brisbane South East (100%)
BELL (NSW),Sydney Greater West (100%) 
BELL (QLD),Darling Downs (100%)
BELL PARK,Barwon (100%)
BELL POST HILL,Barwon (100%)
BELLA CREEK,Wide Bay and Sunshine Coast (100%)
BELLA VISTA,Sydney North and West (100%)
BELLAMACK,Darwin (100%)
BELLAMBI,Illawarra South Coast (100%)
BELLANGRY,Mid North Coast (100%)
BELLARA,Somerset (100%)
BELLARINE,Barwon (100%)
BELLATA,New England and North West (100%)
BELLAWONGARAH,Illawarra South Coast (100%)
BELLBIRD,Hunter (100%)
BELLBIRD CREEK,Gippsland (100%)
BELLBIRD HEIGHTS,Hunter (100%)
BELLBIRD PARK,Wivenhoe (100%)
BELLBOWRIE,Wivenhoe (100%)
BELLBRAE,Barwon (100%)
BELLBRIDGE,Goulburn/Murray (100%)
BELLBROOK,Mid North Coast (100%)
BELLELLEN,Wimmera Mallee (100%)
BELLENDEN KER,Cairns (100%)
BELLERIVE,Hobart and Southern Tasmania (100%)
BELLEVUE (WA),Perth North (100%)
BELLEVUE HEIGHTS,Adelaide South (100%)
BELLEVUE HILL,Sydney East Metro (100%)
BELLFIELD (VIC 3081),North Eastern Melbourne (100%)
BELLI PARK,Wide Bay and Sunshine Coast (100%)
BELLIMBOPINNI,Mid North Coast (100%)
BELLINGEN,Mid North Coast (100%)
BELLINGHAM,North and North Western Tasmania (100%)
BELLMERE,Somerset (100%)
BELLMOUNT FOREST,Capital Region (100%)
BELLS BEACH,Barwon (100%)
BELLS BRIDGE,Wide Bay and Sunshine Coast (100%)
BELLS CREEK,Wide Bay and Sunshine Coast (100%)
BELLTHORPE,Somerset (100%)
BELLTREES,Hunter (100%)
BELMONT (NSW),Hunter (100%)
BELMONT (QLD),Brisbane South East (100%)
BELMONT (VIC),Barwon (100%)
BELMONT (WA),Perth South (100%)
BELMONT NORTH,Hunter (100%)
BELMONT SOUTH,Hunter (100%)
BELMORE,Sydney East Metro (100%)
BELMORE RIVER,Mid North Coast (100%)
BELMUNDA,Mackay (100%)
BELOKA,Capital Region (100%)
BELOWRA,Illawarra South Coast (100%)
BELROSE,Sydney North and West (100%)
BELTON,Mid North SA (100%)
BELVEDERE,Cairns (100%)
BELVIDERE,Adelaide South (100%)
BELYANDO,Mackay (100%)
BEMBOKA,Illawarra South Coast (100%)
BEMERSIDE,Townsville (100%)
BEMM RIVER,Gippsland (100%)
BEN BULLEN,Central West (100%)
BEN LOMOND (NSW),New England and North West (100%)
BEN LOMOND (TAS),North and North Western Tasmania (100%)
BENA,Gippsland (100%)
BENAIR,Wide Bay and Sunshine Coast (100%)
BENALLA,Goulburn/Murray (100%)
BENAMBRA,Gippsland (100%)
BENANDARAH,Illawarra South Coast (100%)
BENARABY,Fitzroy (100%)
BENARKIN,Wide Bay and Sunshine Coast (100%)
BENARKIN NORTH,Wide Bay and Sunshine Coast (100%)
BENAYEO,Wimmera Mallee (100%)
BENBOURNIE,Mid North SA (100%)
BENCUBBIN,Great Southern - Wheatbelt (100%)
BEND OF ISLANDS,North Eastern Melbourne (100%)
BENDALONG,Illawarra South Coast (100%)
BENDEMEER,New England and North West (100%)
BENDICK MURRELL,Capital Region (100%)
BENDIGO,Bendigo (100%)
BENDOC,Gippsland (100%)
BENDOLBA,Hunter (100%)
BENDOURA,Capital Region (100%)
BENEREMBAH,Murray Riverina (100%)
BENGALLA,Hunter (100%)
BENGER,South West WA (100%)
BENGWORDEN,Gippsland (100%)
BENHOLME,Mackay (100%)
BENJABERRING,Great Southern - Wheatbelt (100%)
BENJEROOP,Wimmera Mallee (100%)
BENJINUP,South West WA (100%)
BENLOCH,North Western Melbourne (100%)
BENNETT SPRINGS,Perth North (100%)
BENNETTS GREEN,Hunter (100%)
BENNISON,Gippsland (100%)
BENOBBLE,Gold Coast (100%)
BENOLONG,Far West Orana (100%)
BENOWA,Gold Coast (100%)
BENSVILLE,Sydney North and West (100%)
BENTLEIGH,Inner Metropolitan Melbourne (100%)
BENTLEIGH EAST,Inner Metropolitan Melbourne (100%)
BENTLEY (NSW),North Coast (100%)
BENTLEY (WA),Perth South (100%)
BENTLEY PARK,Cairns (100%)
BENWERRIN,Barwon (100%)
BERAJONDO,Fitzroy (100%)
BERALA,Sydney Greater West (100%)
BERAMBING,Sydney North and West(67.4%);Sydney Greater West(32.6%)
BERAT,Darling Downs (100%)
BEREMBOKE,Ballarat (100%)
BERESFIELD,Hunter (100%)
BERESFORD,Geraldton (100%)
BERGALIA,Illawarra South Coast (100%)
BERGEN,Darling Downs (100%)
BERKELEY,Illawarra South Coast (100%)
BERKELEY VALE,Sydney North and West (100%)
BERKSHIRE PARK,Sydney Greater West (100%)
BERKSHIRE VALLEY,Great Southern - Wheatbelt (100%)
BERMAGUI,Illawarra South Coast (100%)
BEROWRA,Sydney North and West (100%)
BEROWRA CREEK,Sydney North and West (100%)
BEROWRA HEIGHTS,Sydney North and West (100%)
BEROWRA WATERS,Sydney North and West (100%)
BERRAMBOOL,Illawarra South Coast (100%)
BERRARA,Illawarra South Coast (100%)
BERREMANGRA,Capital Region (100%)
BERRI,Murray and South East (100%)
BERRICO,Mid North Coast (100%)
BERRIDALE,Capital Region (100%)
BERRIEDALE,Hobart and Southern Tasmania (100%)
BERRIGAL,New England and North West (100%)
BERRIGAN,Murray Riverina (100%)
BERRILEE,Sydney North and West (100%)
BERRIMA,Illawarra South Coast (100%)
BERRIMAH,Darwin (100%)
BERRIMAL,Bendigo (100%)
BERRINBA,Brisbane South East (100%)
BERRINGA,Ballarat (100%)
BERRINGAMA,Goulburn/Murray (100%)
BERRINGER LAKE,Illawarra South Coast (100%)
BERRIWILLOCK,Wimmera Mallee (100%)
BERRY,Illawarra South Coast (100%)
BERRY JERRY,Murray Riverina (100%)
BERRY MOUNTAIN,Illawarra South Coast (100%)
BERRY PARK,Hunter (100%)
BERRYBANK,South Coast of Victoria (100%) 
BERRYS CREEK,Gippsland (100%)
BERSERKER,Fitzroy (100%)
BERTHONG,Capital Region (100%)
BERTRAM,Perth South (100%)
BERWICK,South Eastern Melbourne and Peninsula (100%)
BERYL,Central West (100%)
BESSIEBELLE,South Coast of Victoria (100%)
BET BET,Ballarat (100%)
BETE BOLONG,Gippsland (100%)
BETE BOLONG NORTH,Gippsland (100%)
BETHANGA,Goulburn/Murray (100%)
BETHANIA,Brisbane South East (100%)
BETHANY,Mid North SA (100%)
BETHEL,Mid North SA (100%)
BETHUNGRA,Murray Riverina (100%)
BETLEY,Ballarat (100%)
BEULAH (TAS),North and North Western Tasmania (100%)
BEULAH (VIC),Wimmera Mallee (100%)
BEULAH PARK,Adelaide South (100%)
BEVENDALE,Capital Region (100%)
BEVERFORD,Wimmera Mallee (100%)
BEVERIDGE,North Eastern Melbourne (100%)
BEVERLEY (SA),Adelaide North (100%)
BEVERLEY (WA),Great Southern - Wheatbelt (100%)
BEVERLEY PARK,Sydney East Metro (100%)
BEVERLY HILLS,Sydney East Metro (100%)
BEWONG,Illawarra South Coast (100%)
BEXHILL,North Coast (100%)
BEXLEY,Sydney East Metro (100%)
BEXLEY NORTH,Sydney East Metro (100%)
BIALA,Capital Region (100%)
BIARRA,Wivenhoe (100%)
BIBARINGA,Adelaide North (100%)
BIBBENLUKE,Capital Region (100%)
BIBRA LAKE,Perth South (100%)
BICHENO,Hobart and Southern Tasmania (100%)
BICKLEY,Perth South (100%)
BICKLEY VALE,Sydney South West (100%)
BICTON,Perth South (100%)
BIDDADDABA,Brisbane South East (100%)
BIDDELIA,South West WA (100%)
BIDDESTON,Darling Downs (100%)
BIDDON,Far West Orana (100%)
BIDGEEMIA,Murray Riverina (100%)
BIDWILL (NSW),Sydney Greater West (100%)
BIDWILL (QLD),Wide Bay and Sunshine Coast (100%)
BIELSDOWN HILLS,Mid North Coast (100%)
BIG BEND,Murray and South East (100%)
BIG GROVE,Great Southern - Wheatbelt (100%)
BIG HILL (NSW),Capital Region (100%)
BIG HILL (VIC 3555),Bendigo (100%)
BIG JACKS CREEK,New England and North West (100%)
BIG PATS CREEK,North Eastern Melbourne (100%)
BIG RIDGE,Hunter (100%)
BIG SPRINGS,Murray Riverina (100%)
BIGGA,Capital Region (100%)
BIGGARA,Goulburn/Murray (100%)
BIGGENDEN,Wide Bay and Sunshine Coast (100%)
BIGGERA WATERS,Gold Coast (100%)
BIGGS FLAT,Adelaide South (100%)
BILAMBIL,Gold Coast (100%)
BILAMBIL HEIGHTS,Gold Coast (100%)
BILBARIN,Great Southern - Wheatbelt (100%)
BILBUL,Murray Riverina (100%)
BILGOLA BEACH,Sydney North and West (100%)
BILGOLA PLATEAU,Sydney North and West (100%)
BILINGA,Gold Coast (100%)
BILINGURR,Broome (100%)
BILLA BILLA,Darling Downs (100%)
BILLEROY,Far West Orana (100%)
BILLILINGRA,Capital Region (100%)
BILLIMARI,Central West (100%)
BILLINUDGEL,North Coast (100%)
BILLYS CREEK,Mid North Coast (100%)
BILLYWILLINGA,Central West (100%)
BILOELA,Fitzroy (100%)
BILPIN,Sydney North and West (100%)
BILYANA,Cairns (100%)
BIMBI,Central West (100%)
BIMBIMBIE,Illawarra South Coast (100%)
BIMBOURIE,Wimmera Mallee (100%)
BINALONG,Capital Region (100%)
BINALONG BAY,North and North Western Tasmania (100%)
BINDA,Capital Region (100%)
BINDERA,Mid North Coast (100%)
BINDI,Gippsland (100%)
BINDI BINDI,Great Southern - Wheatbelt (100%)
BINDOON,Great Southern - Wheatbelt (100%)
BINGARA,New England and North West (100%)
BINGEEBEEBRA CREEK,North Coast (100%)
BINGEGANG,Fitzroy (100%)
BINGIE,Illawarra South Coast (100%)
BINGIL BAY,Cairns (100%)
BINGINWARRI,Gippsland (100%)
BINGLEBURRA,Hunter (100%)
BINIGUY,New England and North West (100%)
BINJOUR,Wide Bay and Sunshine Coast (100%)
BINJURA,Capital Region (100%)
BINNA BURRA (NSW),North Coast (100%)
BINNA BURRA (QLD),Gold Coast (100%)
BINNAWAY,Far West Orana (100%)
BINNINGUP,South West WA (100%)
BINNUM,Murray and South East (100%)
BINYA,Murray Riverina (100%)
BIRCHGROVE,Sydney East Metro (100%)
BIRCHIP,Wimmera Mallee (100%)
BIRCHIP WEST,Wimmera Mallee (100%)
BIRCHMONT,Perth South (100%)
BIRCHMORE,Adelaide South (100%)
BIRCHS BAY,Hobart and Southern Tasmania (100%)
BIRDWOOD (NSW),Mid North Coast (100%)
BIRDWOOD (SA),Adelaide South (100%)
BIRDWOODTON,Wimmera Mallee (100%)
BIRGANBIGIL,Murray Riverina (100%)
BIRKDALE,Brisbane South East (100%)
BIRKENHEAD,Adelaide North (100%)
BIRMINGHAM GARDENS,Hunter (100%)
BIRNAM (QLD 4285),Brisbane South East (100%)
BIRNAM (QLD 4352),Darling Downs (100%)
BIRRALEE,North and North Western Tasmania (100%)
BIRREGURRA,South Coast of Victoria(97.7%);Barwon(2.3%)
BIRRIWA,Central West (100%)
BIRRONG,Sydney South West (100%)
BIRTINYA,Wide Bay and Sunshine Coast (100%)
BISHOPS BRIDGE,Hunter (100%)
BISHOPSBOURNE,North and North Western Tasmania (100%)
BITHRAMERE,New England and North West (100%)
BITTERN,South Eastern Melbourne and Peninsula (100%)
BLACK CREEK (NSW 2439),Mid North Coast (100%)
BLACK CREEK (NSW 2729),Murray Riverina (100%)
BLACK DUCK CREEK,Darling Downs (100%)
BLACK FOREST,Adelaide South (100%)
BLACK HEAD,Mid North Coast (100%)
BLACK HILL (NSW),Hunter (100%)
BLACK HILL (SA),Murray and South East (100%)
BLACK HILL (VIC),Ballarat (100%)
BLACK HILLS,Hobart and Southern Tasmania (100%)
BLACK HOLLOW,Far West Orana (100%)
BLACK JACK,Townsville (100%)
BLACK MOUNTAIN (NSW),New England and North West (100%)
BLACK MOUNTAIN (QLD),Wide Bay and Sunshine Coast (100%)
BLACK POINT,Mid North SA (100%)
BLACK RANGE (NSW),Illawarra South Coast (100%)
BLACK RANGE (VIC),Wimmera Mallee (100%)
BLACK RIVER (QLD),Townsville (100%)
BLACK RIVER (TAS),North and North Western Tasmania (100%)
BLACK ROCK (SA),Mid North SA (100%)
BLACK ROCK (VIC),Inner Metropolitan Melbourne (100%)
BLACK SNAKE,Wide Bay and Sunshine Coast (100%)
BLACK SPRINGS (NSW),Central West (100%)
BLACK SPRINGS (SA),Mid North SA (100%)
BLACKALLS PARK,Hunter (100%)
BLACKBURN,Inner Metropolitan Melbourne (100%)
BLACKBURN NORTH,Inner Metropolitan Melbourne (100%)
BLACKBURN SOUTH,Inner Metropolitan Melbourne (100%)
BLACKBUTT (NSW),Illawarra South Coast (100%)
BLACKBUTT (QLD),Wide Bay and Sunshine Coast (100%)
BLACKBUTT NORTH,Wide Bay and Sunshine Coast (100%)
BLACKBUTT SOUTH,Wide Bay and Sunshine Coast (100%)
BLACKETT,Sydney Greater West (100%)
BLACKFELLOWS CAVES,Murray and South East (100%)
BLACKFELLOWS CREEK,Adelaide South (100%)
BLACKFORD,Murray and South East (100%)
BLACKHEATH (NSW),Sydney Greater West (100%)
BLACKMANS BAY,Hobart and Southern Tasmania (100%)
BLACKMANS FLAT,Central West (100%)
BLACKMANS POINT,Mid North Coast (100%)
BLACKROCK,Townsville (100%)
BLACKS BEACH,Mackay (100%)
BLACKSMITHS,Hunter (100%)
BLACKSOIL,Wivenhoe (100%)
BLACKSTONE,Wivenhoe (100%)
BLACKSTONE HEIGHTS,North and North Western Tasmania (100%)
BLACKSWAMP,Darling Downs (100%)
BLACKTOWN,Sydney Greater West (100%)
BLACKVILLE,New England and North West (100%)
BLACKWALL (NSW),Sydney North and West (100%)
BLACKWALL (TAS),North and North Western Tasmania (100%)
BLACKWARRY,Gippsland (100%)
BLACKWATER,Fitzroy (100%)
BLACKWOOD (SA),Adelaide South (100%)
BLACKWOOD (VIC),Ballarat (100%)
BLACKWOOD CREEK,North and North Western Tasmania (100%)
BLAIR ATHOL (NSW),Sydney South West (100%)
BLAIR ATHOL (SA),Adelaide North (100%)
BLAIRGOWRIE,South Eastern Melbourne and Peninsula (100%)
BLAIRMOUNT,Sydney South West (100%)
BLAKEBROOK,North Coast (100%)
BLAKEHURST,Sydney East Metro (100%)
BLAKEVIEW,Adelaide North (100%)
BLAKEVILLE,Ballarat (100%)
BLAKISTON,Adelaide South (100%)
BLAKNEY CREEK,Capital Region (100%)
BLAMPIED,Ballarat (100%)
BLANCHE HARBOR,North West Country SA (100%)
BLANCHETOWN,Murray and South East (100%)
BLANCHVIEW,Darling Downs (100%)
BLAND,Central West (100%)
BLANDFORD,Hunter (100%)
BLANTYRE,Wivenhoe (100%)
BLAXLAND (NSW),Sydney Greater West (100%)
BLAXLAND (QLD),Darling Downs (100%)
BLAXLANDS CREEK,North Coast (100%)
BLAXLANDS RIDGE,Sydney North and West (100%)
BLAYNEY,Central West (100%)
BLENHEIM,Wivenhoe (100%)
BLESSINGTON,North and North Western Tasmania (100%)
BLETCHLEY,Adelaide South (100%)
BLEWITT SPRINGS,Adelaide South (100%)
BLI BLI,Wide Bay and Sunshine Coast (100%)
BLIGH PARK,Sydney Greater West (100%)
BLIGHTY,Murray Riverina (100%)
BLIND BIGHT,South Eastern Melbourne and Peninsula (100%)
BLOOMSBURY,Mackay (100%)
BLOWHARD,Ballarat (100%)
BLUE BAY,Sydney North and West (100%)
BLUE HAVEN,Sydney North and West (100%)
BLUE HILLS,Townsville (100%)
BLUE KNOB,North Coast (100%)
BLUE MOUNTAIN,Mackay (100%)
BLUE MOUNTAIN HEIGHTS,Darling Downs (100%)
BLUE MOUNTAINS NATIONAL PARK,Sydney Greater West (100%) 
BLUE NOBBY,New England and North West (100%)
BLUE ROCKS,North and North Western Tasmania (100%)
BLUE VALE,New England and North West (100%)
BLUEWATER,Townsville (100%)
BLUEWATER PARK,Townsville (100%)
BLUEYS BEACH,Mid North Coast (100%)
BLUFF,Fitzroy (100%)
BLUFF BEACH,Mid North SA (100%)
BLUFF POINT,Geraldton (100%)
BLUMONT,North and North Western Tasmania (100%)
BLYTH,Mid North SA (100%)
BLYTHDALE,Darling Downs (100%)
BLYTHEWOOD,Perth South (100%)
BO PEEP,Ballarat (100%)
BOALLIA,South West WA (100%)
BOAMBEE,Mid North Coast (100%)
BOAMBEE EAST,Mid North Coast (100%)
BOAMBOLO,Capital Region (100%)
BOAT HARBOUR (NSW 2316),Hunter (100%)
BOAT HARBOUR (NSW 2480),North Coast (100%)
BOAT HARBOUR (TAS),North and North Western Tasmania (100%)
BOAT HARBOUR BEACH,North and North Western Tasmania (100%)
BOATSWAIN POINT,Murray and South East (100%)
BOBADAH,Far West Orana(83.8%);Central West(16.2%)
BOBALONG,Great Southern - Wheatbelt (100%)
BOBIN,Mid North Coast (100%)
BOBINAWARRAH,Goulburn/Murray (100%)
BOBS CREEK,Mid North Coast (100%)
BOBS FARM,Hunter (100%)
BOBUNDARA,Capital Region (100%)
BOCHARA,South Coast of Victoria (100%)
BOCO,Capital Region (100%)
BOCOBLE,Central West (100%)
BOCOBRA,Central West (100%)
BOCONNOC PARK,Mid North SA (100%)
BODALLA,Illawarra South Coast (100%)
BODALLIN,Great Southern - Wheatbelt (100%)
BODANGORA,Far West Orana (100%)
BODDINGTON,Perth South (100%)
BOGAN,Far West Orana (100%)
BOGAN GATE,Central West (100%)
BOGANDILLA,Darling Downs (100%)
BOGANGAR,North Coast (100%)
